iter	Logloss
0	0.6788994816
1	0.6661433365
2	0.6545344376
3	0.6440965278
4	0.6342186072
5	0.6251525396
6	0.6166417225
7	0.6093015424
8	0.6021686387
9	0.5950904019
10	0.5889445361
11	0.583805547
12	0.5787442691
13	0.5743682157
14	0.5701515652
15	0.5664089736
16	0.5630870528
17	0.5598623089
18	0.5568874765
19	0.5542149593
20	0.5514163677
21	0.5490450173
22	0.5468136862
23	0.5448732512
24	0.5428743992
25	0.5410836629
26	0.5393996244
27	0.5379079828
28	0.5364547712
29	0.5351555722
30	0.5338825356
31	0.5326667779
32	0.5316583749
33	0.5306636483
34	0.5297469996
35	0.5288553
36	0.527984772
37	0.5273750683
38	0.5264973027
39	0.5259979774
40	0.5252652628
41	0.5244241615
42	0.5237118483
43	0.5230173539
44	0.5225815728
45	0.5221864922
46	0.5216451208
47	0.5211046771
48	0.520801116
49	0.520382496
50	0.5199972531
51	0.5194947169
52	0.5190366304
53	0.5187221906
54	0.5182756007
55	0.5176727583
56	0.5172864203
57	0.5168058436
58	0.5163249116
59	0.5160810549
60	0.5157291448
61	0.515405749
62	0.5151240083
63	0.5148744344
64	0.5145610632
65	0.5143811668
66	0.5141648386
67	0.5138763568
68	0.5137584363
69	0.5132565708
70	0.5130194763
71	0.5126437609
72	0.5122547761
73	0.5121129669
74	0.5120044603
75	0.5118134858
76	0.5115702712
77	0.5113741947
78	0.5112231511
79	0.5110040925
80	0.51087414
81	0.5106505475
82	0.5105059352
83	0.5103119328
84	0.5101603301
85	0.5100600625
86	0.5098718229
87	0.5097960214
88	0.509518227
89	0.5094104983
90	0.5091900522
91	0.5089401104
92	0.5087488882
93	0.5085289128
94	0.5083092585
95	0.5081334828
96	0.508031419
97	0.5077997557
98	0.5077049161
99	0.5075538376
100	0.5073394442
101	0.5072229591
102	0.5070131907
103	0.5069678831
104	0.5067845768
105	0.5066478095
106	0.5064859889
107	0.5063382808
108	0.506194325
109	0.5059884389
110	0.5056710606
111	0.5054805524
112	0.505418627
113	0.5052469147
114	0.5051655549
115	0.5050491618
116	0.5049068208
117	0.5047320403
118	0.5045629314
119	0.5044443193
120	0.5043345019
121	0.5042849311
122	0.5041628457
123	0.5040636293
124	0.5039015625
125	0.5037891069
126	0.5036563834
127	0.5035926437
128	0.5034872041
129	0.5034099289
130	0.5032811946
131	0.5031857418
132	0.5030778476
133	0.5030195312
134	0.5029345746
135	0.5028115233
136	0.5027527592
137	0.5026586054
138	0.5025205343
139	0.5024483052
140	0.5023390377
141	0.5022977446
142	0.5021996418
143	0.5021266281
144	0.5019904939
145	0.5019412232
146	0.5018092201
147	0.5017178207
148	0.5016705259
149	0.5015732361
150	0.5014591757
151	0.5013446943
152	0.5012857119
153	0.5011312733
154	0.5010769167
155	0.5009994587
156	0.5009464494
157	0.5008020389
158	0.5007337103
159	0.5006463531
160	0.5005142465
161	0.5004272905
162	0.500336742
163	0.5001859301
164	0.5000958984
165	0.5000067967
166	0.4998852868
167	0.4997982147
168	0.4997390171
169	0.4996622372
170	0.4996331795
171	0.4995284376
172	0.4994650721
173	0.4994086165
174	0.4992737338
175	0.499187377
176	0.4991282952
177	0.4990263238
178	0.4989774167
179	0.4988597086
180	0.4987946392
181	0.4987195735
182	0.4986065815
183	0.4985182322
184	0.4984835479
185	0.4984247795
186	0.4983599114
187	0.4982732311
188	0.4981790421
189	0.4980749656
190	0.4979976005
191	0.4979550915
192	0.4979115944
193	0.4978359554
194	0.4977651769
195	0.4977075164
196	0.4976010567
197	0.4975397595
198	0.4974436609
199	0.4973777325
200	0.4972136103
201	0.4971572898
202	0.4970870051
203	0.4970356176
204	0.4969559694
205	0.4968598951
206	0.4968051828
207	0.4967385818
208	0.4966973788
209	0.4966339043
210	0.4965005361
211	0.4964573009
212	0.4963849928
213	0.4963081903
214	0.4962049138
215	0.4961441439
216	0.4960646704
217	0.4959260889
218	0.4958874429
219	0.4958135056
220	0.4957271966
221	0.4956413032
222	0.4955851034
223	0.4954765797
224	0.4954156865
225	0.4952693212
226	0.4952092292
227	0.4951807363
228	0.4950704119
229	0.494993601
230	0.4949396733
231	0.4948606633
232	0.4947661198
233	0.4946484379
234	0.4946221073
235	0.4945587875
236	0.4944687926
237	0.494417797
238	0.4943303316
239	0.4942782914
240	0.4941700185
241	0.494110451
242	0.4940401136
243	0.4939642102
244	0.4938730376
245	0.493847255
246	0.4937969622
247	0.4936642677
248	0.493603625
249	0.4935749632
250	0.4935148681
251	0.4934531096
252	0.4933945146
253	0.4933485715
254	0.4932474664
255	0.4931864223
256	0.4931430862
257	0.4930916519
258	0.4930292784
259	0.4929745118
260	0.4929358437
261	0.4928303707
262	0.4927475305
263	0.4926851611
264	0.4926056475
265	0.4925291406
266	0.4924744196
267	0.4923839234
268	0.4923088065
269	0.4922614061
270	0.4921935057
271	0.4921160887
272	0.4920241686
273	0.4918951016
274	0.4918151575
275	0.4917475897
276	0.4916782444
277	0.4916291065
278	0.4915705988
279	0.4915040156
280	0.4914435037
281	0.491351275
282	0.4912825081
283	0.4912308987
284	0.4911841802
285	0.4911344293
286	0.4910845851
287	0.4910020713
288	0.4909229169
289	0.4907861881
290	0.4906990075
291	0.4906126245
292	0.4905239839
293	0.4904022471
294	0.4903520664
295	0.4902681575
296	0.4902264057
297	0.4901656502
298	0.4900980344
299	0.4900667258
300	0.4899933777
301	0.4899203705
302	0.4898468722
303	0.4897195715
304	0.4896087695
305	0.4895610441
306	0.4894793908
307	0.4894041266
308	0.4893444728
309	0.4892594347
310	0.4891577803
311	0.489089311
312	0.4890728329
313	0.4889958187
314	0.4889465615
315	0.4888330435
316	0.4887728408
317	0.4886827572
318	0.4885842162
319	0.4884544261
320	0.4884187563
321	0.4883285811
322	0.4882771352
323	0.4881555686
324	0.488043929
325	0.4879409326
326	0.4878966792
327	0.4878305305
328	0.4877143716
329	0.48767925
330	0.4875700001
331	0.4874604797
332	0.4874005131
333	0.4873846985
334	0.4872576128
335	0.4871889468
336	0.4871086882
337	0.4870008448
338	0.4869199667
339	0.4868352259
340	0.4867543037
341	0.486640119
342	0.4865752387
343	0.4864720151
344	0.4863669939
345	0.4862519298
346	0.4861965502
347	0.486118401
348	0.4860563919
349	0.4859698357
350	0.4859329422
351	0.4859290918
352	0.4858781296
353	0.4858011736
354	0.4857308091
355	0.4856566438
356	0.4855830644
357	0.485512713
358	0.4853988904
359	0.485347456
360	0.4852470559
361	0.4851862589
362	0.4850941502
363	0.4850548905
364	0.4849977354
365	0.4848868414
366	0.4848207286
367	0.4847641686
368	0.4846807354
369	0.4845998593
370	0.4845464201
371	0.4844821978
372	0.4844471147
373	0.4843811823
374	0.4843258093
375	0.4842089911
376	0.4841248192
377	0.4840422419
378	0.4839924274
379	0.4839014445
380	0.4838261244
381	0.4837921513
382	0.4836813352
383	0.4836675261
384	0.483582299
385	0.4835198519
386	0.4834535589
387	0.4833794388
388	0.4833292892
389	0.4832482631
390	0.4831813829
391	0.4831075037
392	0.4830459554
393	0.483034945
394	0.4829709798
395	0.4829198087
396	0.482830463
