iter	Passed	Remaining
0	25	150420
1	48	144350
2	73	147164
3	96	144243
4	118	142243
5	142	142633
6	166	142389
7	191	143240
8	212	141550
9	234	140537
10	257	140009
11	278	138748
12	300	138600
13	325	139132
14	347	138698
15	370	138461
16	394	138978
17	417	138797
18	441	138876
19	465	139046
20	487	138898
21	511	139067
22	534	138845
23	560	139472
24	583	139364
25	606	139297
26	629	139183
27	657	140167
28	686	141434
29	730	145437
30	773	148988
31	826	154088
32	864	156253
33	940	165111
34	980	167049
35	1023	169555
36	1065	171785
37	1123	176322
38	1173	179363
39	1213	180796
40	1258	182842
41	1307	185447
42	1446	200367
43	1526	206605
44	1625	215114
45	1678	217233
46	1739	220330
47	1782	221013
48	1844	223967
49	1901	226318
50	1954	228006
51	2013	230268
52	2063	231564
53	2089	230112
54	2119	229092
55	2147	227932
56	2169	226248
57	2196	225060
58	2220	223595
59	2243	222149
60	2265	220619
61	2292	219529
62	2312	217953
63	2334	216569
64	2359	215420
65	2382	214207
66	2405	212977
67	2427	211803
68	2451	210738
69	2475	209688
70	2503	209053
71	2526	207990
72	2549	206978
73	2572	205971
74	2594	204945
75	2616	203955
76	2637	202848
77	2658	201861
78	2677	200699
79	2699	199781
80	2721	198877
81	2742	197942
82	2764	197075
83	2784	196138
84	2805	195210
85	2824	194242
86	2848	193611
87	2869	192770
88	2889	191936
89	2910	191107
90	2929	190218
91	2950	189460
92	2970	188667
93	2991	187963
94	3012	187244
95	3033	186583
96	3052	185781
97	3073	185090
98	3093	184368
99	3112	183665
100	3132	182929
101	3151	182221
102	3172	181644
103	3192	180992
104	3212	180377
105	3234	179854
106	3253	179203
107	3273	178610
108	3292	177943
109	3312	177366
110	3332	176803
111	3352	176265
112	3374	175782
113	3393	175213
114	3416	174841
115	3436	174318
116	3456	173807
117	3476	173298
118	3496	172786
119	3514	172212
120	3536	171828
121	3556	171366
122	3576	170901
123	3597	170456
124	3620	170143
125	3639	169661
126	3660	169269
127	3680	168839
128	3700	168413
129	3719	167961
130	3739	167556
131	3759	167140
132	3779	166709
133	3798	166279
134	3820	165959
135	3841	165639
136	3860	165223
137	3880	164843
138	3900	164474
139	3920	164120
140	3940	163755
141	3959	163355
142	3980	163041
143	4003	162802
144	4028	162651
145	4050	162409
146	4073	162208
147	4095	161944
148	4114	161566
149	4134	161256
150	4154	160915
151	4173	160564
152	4191	160190
153	4209	159813
154	4228	159453
155	4247	159105
156	4266	158772
157	4284	158425
158	4302	158064
159	4320	157710
160	4339	157388
161	4358	157050
162	4377	156774
163	4397	156477
164	4416	156186
165	4435	155877
166	4454	155595
167	4473	155286
168	4495	155120
169	4514	154817
170	4533	154530
171	4552	154269
172	4576	154130
173	4597	153940
174	4618	153733
175	4638	153504
176	4657	153238
177	4677	152979
178	4697	152762
179	4718	152574
180	4737	152314
181	4756	152047
182	4776	151840
183	4797	151642
184	4817	151430
185	4837	151204
186	4855	150942
187	4875	150723
188	4894	150491
189	4918	150397
190	4942	150324
191	4967	150254
192	4997	150358
193	5024	150364
194	5049	150328
195	5075	150308
196	5105	150399
197	5129	150302
198	5154	150251
199	5173	150044
200	5194	149863
201	5213	149654
202	5231	149407
203	5252	149233
204	5271	149008
205	5289	148767
206	5307	148522
207	5325	148281
208	5343	148050
209	5361	147823
210	5382	147677
211	5402	147501
212	5422	147334
213	5445	147244
214	5470	147190
215	5497	147222
216	5521	147156
217	5546	147111
218	5576	147206
219	5604	147244
220	5627	147162
221	5646	146969
222	5666	146790
223	5685	146602
224	5705	146442
225	5725	146282
226	5745	146119
227	5769	146055
228	5788	145879
229	5808	145711
230	5830	145613
231	5850	145448
232	5869	145273
233	5895	145265
234	5914	145088
235	5933	144918
236	5956	144834
237	5977	144726
238	6001	144657
239	6026	144638
240	6049	144566
241	6072	144473
242	6091	144317
243	6109	144130
244	6129	143974
245	6147	143789
246	6167	143654
247	6185	143473
248	6203	143289
249	6223	143129
250	6242	142975
251	6261	142826
252	6281	142692
253	6305	142639
254	6328	142588
255	6352	142538
256	6374	142456
257	6398	142398
258	6422	142364
259	6447	142330
260	6467	142212
261	6489	142119
262	6518	142197
263	6537	142043
264	6558	141927
265	6578	141802
266	6596	141637
267	6614	141476
268	6633	141322
269	6655	141237
270	6673	141085
271	6694	140975
272	6714	140848
273	6735	140754
274	6754	140618
275	6773	140472
276	6792	140344
277	6814	140269
278	6839	140249
279	6863	140208
280	6884	140115
281	6909	140096
282	6928	139974
283	6954	139971
284	6974	139859
285	6995	139773
286	7017	139684
287	7047	139772
288	7073	139781
289	7103	139863
290	7128	139849
291	7153	139844
292	7181	139880
293	7208	139894
294	7228	139795
295	7257	139846
296	7280	139799
297	7305	139781
298	7331	139796
299	7368	139993
300	7403	140177
301	7444	140463
302	7472	140492
303	7498	140497
304	7523	140486
305	7554	140571
306	7576	140499
307	7595	140373
308	7615	140251
309	7634	140134
310	7653	140000
311	7671	139861
312	7691	139753
313	7712	139666
314	7730	139520
315	7751	139428
316	7794	139731
317	7906	141266
318	7932	141270
319	7975	141571
320	7996	141479
321	8021	141444
322	8046	141423
323	8067	141335
324	8089	141261
325	8110	141168
326	8131	141062
327	8151	140961
328	8171	140853
329	8190	140734
330	8209	140611
331	8234	140581
332	8254	140467
333	8271	140322
334	8290	140202
335	8310	140084
336	8328	139950
337	8348	139847
338	8367	139723
339	8386	139607
340	8405	139485
341	8424	139370
342	8443	139259
343	8464	139177
344	8485	139084
345	8503	138960
346	8521	138831
347	8541	138728
348	8563	138653
349	8581	138537
350	8599	138405
351	8616	138256
352	8634	138127
353	8652	137996
354	8671	137883
355	8690	137781
356	8708	137653
357	8727	137547
358	8750	137497
359	8770	137406
360	8791	137320
361	8811	137234
362	8830	137135
363	8848	137009
364	8868	136920
365	8890	136856
366	8909	136754
367	8928	136648
368	8949	136564
369	8970	136499
370	8990	136402
371	9011	136331
372	9033	136272
373	9052	136174
374	9072	136080
375	9090	135971
376	9110	135887
377	9128	135773
378	9146	135657
379	9164	135543
380	9182	135426
381	9202	135338
382	9221	135239
383	9239	135127
384	9261	135074
385	9280	134973
386	9298	134864
387	9316	134759
388	9337	134682
389	9356	134583
390	9374	134483
391	9393	134385
392	9411	134277
393	9429	134166
394	9449	134083
395	9469	134002
396	9487	133903
397	9506	133809
398	9525	133715
399	9544	133619
400	9566	133576
401	9584	133462
402	9602	133356
403	9620	133264
404	9638	133149
405	9657	133069
406	9676	132972
407	9708	133062
408	9754	133343
409	9808	133732
410	9831	133695
411	9859	133724
412	9908	134037
413	9944	134181
414	9973	134216
415	9999	134220
416	10025	134223
417	10050	134217
418	10075	134199
419	10105	134256
420	10142	134409
421	10185	134631
422	10212	134643
423	10239	134657
424	10262	134625
425	10301	134791
426	10369	135331
427	10416	135614
428	10470	135971
429	10503	136062
430	10544	136242
431	10575	136306
432	10598	136256
433	10620	136208
434	10643	136158
435	10665	136105
436	10685	136024
437	10708	135979
438	10730	135924
439	10752	135866
440	10773	135798
441	10793	135728
442	10814	135652
443	10836	135597
444	10857	135540
445	10879	135481
446	10901	135433
447	10926	135416
448	10952	135410
449	10979	135419
450	11010	135466
451	11045	135575
452	11088	135778
453	11128	135946
454	11151	135905
455	11176	135879
456	11242	136361
457	11321	136996
458	11373	137299
459	11397	137261
460	11417	137183
461	11437	137105
462	11461	137065
463	11484	137021
464	11504	136940
465	11527	136893
466	11550	136845
467	11571	136786
468	11596	136756
469	11617	136692
470	11639	136633
471	11659	136557
472	11680	136482
473	11702	136427
474	11722	136348
475	11743	136287
476	11763	136202
477	11781	136102
478	11803	136053
479	11826	136003
480	11847	135939
481	11869	135879
482	11892	135837
483	11910	135745
484	11934	135704
485	11956	135654
486	11983	135654
487	12004	135586
488	12024	135520
489	12047	135471
490	12073	135465
491	12096	135425
492	12119	135381
493	12142	135337
494	12164	135281
495	12189	135259
496	12210	135195
497	12230	135126
498	12250	135048
499	12270	134975
500	12294	134944
501	12315	134879
502	12337	134825
503	12358	134766
504	12377	134684
505	12401	134656
506	12436	134740
507	12464	134753
508	12493	134775
509	12520	134780
510	12559	134910
511	12599	135053
512	12633	135123
513	12671	135242
514	12711	135388
515	12762	135635
516	12801	135769
517	12839	135884
518	12886	136086
519	12926	136227
520	12974	136444
521	13029	136736
522	13087	137051
523	13128	137201
524	13164	137283
525	13202	137396
526	13230	137402
527	13257	137391
528	13286	137412
529	13322	137497
530	13357	137570
531	13393	137663
532	13419	137648
533	13446	137638
534	13471	137609
535	13497	137590
536	13520	137550
537	13543	137496
538	13567	137462
539	13591	137421
540	13616	137396
541	13640	137357
542	13666	137341
543	13690	137303
544	13713	137259
545	13736	137210
546	13760	137173
547	13787	137172
548	13811	137133
549	13835	137098
550	13862	137088
551	13886	137048
552	13911	137028
553	13938	137018
554	13962	136987
555	13988	136966
556	14013	136935
557	14037	136907
558	14060	136859
559	14083	136814
560	14106	136762
561	14133	136760
562	14157	136721
563	14179	136669
564	14204	136641
565	14228	136607
566	14254	136582
567	14279	136557
568	14302	136517
569	14329	136506
570	14353	136475
571	14380	136467
572	14408	136467
573	14435	136460
574	14462	136452
575	14488	136430
576	14514	136416
577	14538	136376
578	14561	136336
579	14586	136309
580	14611	136280
581	14636	136256
582	14660	136218
583	14685	136192
584	14710	136170
585	14733	136117
586	14758	136091
587	14779	136035
588	14804	136001
589	14826	135953
590	14850	135919
591	14873	135875
592	14902	135883
593	14927	135855
594	14949	135802
595	14972	135754
596	14994	135701
597	15017	135657
598	15044	135653
599	15068	135620
600	15093	135588
601	15117	135551
602	15140	135509
603	15164	135472
604	15187	135430
605	15212	135403
606	15238	135392
607	15261	135345
608	15285	135312
609	15309	135273
610	15332	135233
611	15355	135185
612	15378	135145
613	15403	135120
614	15426	135072
615	15450	135037
616	15472	134985
617	15494	134936
618	15517	134891
619	15539	134846
620	15564	134813
621	15588	134783
622	15610	134729
623	15634	134697
624	15657	134650
625	15679	134603
626	15701	134554
627	15728	134545
628	15763	134602
629	15788	134581
630	15815	134568
631	15847	134601
632	15876	134614
633	15915	134706
634	15952	134778
635	15983	134801
636	16017	134856
637	16063	135006
638	16127	135306
639	16155	135298
640	16180	135275
641	16222	135393
642	16287	135696
643	16329	135805
644	16354	135784
645	16378	135743
646	16403	135714
647	16427	135678
648	16450	135632
649	16473	135585
650	16502	135595
651	16529	135579
652	16552	135537
653	16575	135495
654	16598	135452
655	16622	135408
656	16646	135373
657	16670	135341
658	16694	135306
659	16716	135251
660	16739	135207
661	16766	135199
662	16792	135174
663	16815	135129
664	16839	135098
665	16861	135042
666	16885	135010
667	16908	134963
668	16931	134922
669	16956	134891
670	16978	134843
671	17002	134804
672	17025	134759
673	17049	134730
674	17072	134680
675	17095	134638
676	17120	134611
677	17145	134581
678	17170	134558
679	17194	134522
680	17219	134497
681	17244	134470
682	17269	134436
683	17293	134400
684	17318	134375
685	17345	134365
686	17372	134349
687	17397	134322
688	17421	134289
689	17443	134242
690	17469	134216
691	17496	134207
692	17519	134168
693	17545	134144
694	17571	134121
695	17593	134071
696	17612	133999
697	17631	133929
698	17650	133855
699	17669	133785
700	17693	133748
701	17711	133668
702	17731	133600
703	17755	133573
704	17776	133516
705	17796	133447
706	17817	133391
707	17836	133318
708	17855	133250
709	17873	133169
710	17892	133097
711	17909	133012
712	17928	132944
713	17947	132872
714	17966	132800
715	17988	132753
716	18017	132759
717	18063	132884
718	18119	133085
719	18181	133332
720	18236	133523
721	18265	133525
722	18289	133493
723	18318	133490
724	18342	133461
725	18390	133593
726	18433	133699
727	18463	133709
728	18494	133724
729	18525	133740
730	18562	133795
731	18600	133862
732	18637	133919
733	18667	133927
734	18691	133890
735	18718	133877
736	18749	133888
737	18770	133837
738	18792	133784
739	18812	133721
740	18830	133646
741	18848	133562
742	18866	133485
743	18885	133416
744	18906	133361
745	18924	133283
746	18943	133211
747	18961	133136
748	18983	133090
749	19005	133035
750	19028	132994
751	19052	132963
752	19072	132900
753	19091	132833
754	19111	132768
755	19133	132720
756	19151	132644
757	19170	132572
758	19189	132504
759	19209	132447
760	19229	132380
761	19247	132305
762	19265	132231
763	19283	132159
764	19305	132112
765	19324	132040
766	19342	131964
767	19361	131899
